fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20231008 005030	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	100005	0.245308018152709	0.468426632022505	2790	733	7288	79765000	76
20231008 005056	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	44	TRUE	100005	0.162630910260014	0.999905825650807	5279	361	5022	79940000	77
20231008 005840	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1553	TRUE	100005	0.0100400450117294	0.977261595716016	7996	237	7522	82040000	78
20231008 010104	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	254	TRUE	100005	0.0218323349244163	0.999089431958047	4056	197	7557	84595000	79
20231008 010130	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	100005	0.220861103516641	0.646467080640225	7998	446	6789	82425000	80
20231008 010158	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	57	TRUE	100005	0.299962331144578	0.203933838820709	7996	177	6974	81690000	81
20231008 010744	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1015	TRUE	100005	0.010122952883357	0.238607247199702	5628	167	7432	84070000	82
20231008 011040	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	106	TRUE	100005	0.299959011082167	0.200039767440353	8	1022	7962	51240000	83
20231008 011119	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	102	TRUE	100005	0.299890199600776	0.207360869312881	3972	18	7053	80850000	84
20231008 011214	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	151	TRUE	100005	0.0873213921795044	0.999604510658406	4994	758	7475	83755000	85
20231008 011249	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	83	TRUE	100005	0.223193440104055	0.70631122064526	4360	1024	5003	78960000	86
20231008 011834	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	410	TRUE	100005	0.0100889290050104	0.589834506340756	1344	864	7580	84980000	87
20231008 012408	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	718	TRUE	100005	0.01014076471105	0.999796075165866	3214	1016	8749	83265000	88
20231008 013322	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	964	TRUE	100005	0.0103474732303608	0.994166962413119	1207	1024	5277	81515000	89
20231008 013357	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	37	TRUE	100005	0.218164579725083	0.372999108369762	1868	72	5001	73080000	90
20231008 013438	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	100005	0.162387314301237	0.999923544579034	1773	1022	6688	82005000	91
20231008 014013	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	994	TRUE	100005	0.0100648004137749	0.788486039991293	5886	310	7443	84840000	92
20231008 014824	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1576	TRUE	100005	0.010017994290207	0.471302459332405	7993	710	8002	83720000	93
20231008 015221	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	710	TRUE	100005	0.0150583916862172	0.201524049082016	7197	1024	8566	81725000	94
20231008 020206	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	866	TRUE	100005	0.0100473816648657	0.32863515097577	1020	980	10085	83405000	95
20231008 020237	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	100005	0.299981733841143	0.625726600826829	6773	1024	7481	78960000	96
20231008 020811	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	970	TRUE	100005	0.0101074084875059	0.229940986586825	8000	294	5606	81725000	97
20231008 021525	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1389	TRUE	100005	0.010264679179953	0.99927659701981	5300	1012	6989	84945000	98
20231008 021558	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	100005	0.299954830198612	0.200744685753083	3704	285	10027	75145000	99
20231008 022634	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1306	TRUE	100005	0.0100488776911403	0.998756582741045	779	86	9917	82915000	100
20231008 023230	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	843	TRUE	100005	0.0101219274525848	0.833831037780792	2923	58	7318	84595000	101
20231008 024016	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	896	TRUE	100005	0.010155565028882	0.999891466106284	1732	341	11518	78435000	102
20231008 025303	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	604	TRUE	100005	0.0100944876654169	0.982125136023568	20	212	7471	82390000	103
20231008 025825	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	856	TRUE	100005	0.0102350933994035	0.999862739331275	5678	88	6654	83090000	104
20231008 025912	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	80	TRUE	100005	0.147897268308575	0.960189625185027	4440	564	7132	82810000	105
20231008 030112	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	128	TRUE	100005	0.0883828480737736	0.999355872366667	770	572	9352	82670000	106
20231008 031156	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	459	TRUE	100005	0.0101208631072545	0.425541334503238	326	197	9546	83825000	107
20231008 031219	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	50	TRUE	100005	0.299916979547101	0.275431324089866	7997	1023	10542	77980000	108
20231008 031239	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	27	TRUE	100005	0.299999805544352	0.993947626194076	8000	65	14977	65975000	109
20231008 031745	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	859	TRUE	100005	0.0103460626896665	0.853640543400692	4971	1022	8052	85610000	110
20231008 032852	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	827	TRUE	100005	0.0100697423207285	0.412487941242311	941	664	7581	85260000	111
20231008 032941	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	103	TRUE	100005	0.258587713490942	0.200169425382608	5257	414	6982	81340000	112
20231008 033441	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	916	TRUE	100005	0.0101060819343508	0.666049549587747	7998	885	5003	80920000	113
20231008 034023	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	984	TRUE	100005	0.0101796848640014	0.252252446607743	902	16	11700	77420000	114
20231008 034120	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	138	TRUE	100005	0.0726671680389055	0.693959507142416	7997	117	7342	83860000	115
20231008 035207	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2234	TRUE	100005	0.0100989511464825	0.936295976793561	5329	209	9051	83930000	116
20231008 035249	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	100005	0.100164042537679	0.757597756349588	8000	887	7565	82285000	117
20231008 035317	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	100005	0.194453380574964	0.999720853736019	5193	1024	9323	81480000	118
20231008 035343	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	36	TRUE	100005	0.299635992162299	0.910629875593839	7995	785	5013	78050000	119
20231008 035409	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	18	TRUE	100005	0.0908631696263871	0.688722412642395	3	17	10429	75705000	120
